['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170808T094029_12_77'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[5, 4, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T94161_34_54'],['Water bodies'],[8]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180511T100029_21_11'],"['Mixed forest', 'Bare rock', 'Sea and ocean']","[0, 29, 9]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170813T112121_28_86'],"['Non-irrigated arable land', 'Vineyards', 'Agro-forestry areas', 'Broad-leaved forest']","[2, 20, 11, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170914T93030_53_87'],"['Non-irrigated arable land', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Inland marshes', 'Water courses']","[2, 6, 5, 22, 19]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171201T112431_13_71'],"['Broad-leaved forest', 'Transitional woodland/shrub']","[4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94031_30_54'],"['Coniferous forest', 'Mixed forest', 'Water bodies']","[1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180205T100211_5_12'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Peatbogs']","[1, 0, 3, 12]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170613T101032_87_73'],"['Non-irrigated arable land', 'Coniferous forest', 'Transitional woodland/shrub']","[2, 1, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T112112_51_1'],"['Non-irrigated arable land', 'Permanently irrigated land', 'Olive groves']","[2, 13, 16]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T112109_86_89'],['Continuous urban fabric'],[18]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170613T101031_89_85'],"['Broad-leaved forest', 'Mixed forest']","[4, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180318T093031_19_13'],"['Broad-leaved forest', 'Mixed forest', 'Transitional woodland/shrub', 'Peatbogs']","[4, 0, 3, 12]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170927T094019_12_48'],"['Discontinuous urban fabric', 'Industrial or commercial units', 'Non-irrigated arable land', 'Broad-leaved forest']","[10, 14, 2, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180422T093029_28_53'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[2, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180527T093041_39_64'],"['Broad-leaved forest', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Water bodies']","[4, 1, 0, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180430T094031_60_45'],"['Non-irrigated arable land', 'Complex cultivation patterns']","[2, 6]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170817T101019_67_89'],"['Non-irrigated arable land', 'Coniferous forest', 'Mixed forest', 'Peatbogs']","[2, 1, 0, 12]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170813T112121_43_74'],"['Non-irrigated arable land', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Transitional woodland/shrub']","[2, 6, 5, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170709T094029_0_26'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Mixed forest', 'Water bodies']","[10, 2, 5, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T094159_21_61'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest']","[2, 5, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170802T092029_0_37'],"['Pastures', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Mixed forest', 'Transitional woodland/shrub']","[7, 5, 4, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T093019_72_17'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[5, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170906T101020_59_72'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest']","[10, 2, 5, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170914T93030_58_56'],"['Discontinuous urban fabric', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Transitional woodland/shrub']","[10, 5, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180511T100029_31_42'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94030_54_3'],"['Coniferous forest', 'Water bodies']","[1, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170825T093029_43_88'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Transitional woodland/shrub']","[5, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170704T112111_58_61'],"['Discontinuous urban fabric', 'Olive groves', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[10, 16, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T112111_6_54'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T112112_21_34'],"['Non-irrigated arable land', 'Permanently irrigated land', 'Pastures', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Transitional woodland/shrub']","[2, 13, 7, 6, 5, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171121T112351_45_43'],"['Broad-leaved forest', 'Transitional woodland/shrub']","[4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180417T102019_4_13'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Water courses']","[1, 0, 3, 19]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170613T101031_61_12'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170817T101019_59_82'],"['Mixed forest', 'Transitional woodland/shrub']","[0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171221T112501_5_22'],"['Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Mixed forest', 'Transitional woodland/shrub']","[6, 5, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T94160_70_54'],"['Coniferous forest', 'Mixed forest', 'Water bodies']","[1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180511T100029_72_26'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T094159_83_65'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Water bodies']","[1, 0, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171208T093351_86_28'],"['Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[6, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180511T100029_1_14'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180419T101031_15_86'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171101T094131_40_28'],"['Coniferous forest', 'Mixed forest', 'Water bodies']","[1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180526T100031_73_45'],"['Non-irrigated arable land', 'Mixed forest', 'Transitional woodland/shrub']","[2, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94030_66_25'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Mixed forest', 'Peatbogs']","[2, 5, 0, 12]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170813T112121_87_40'],"['Non-irrigated arable land', 'Agro-forestry areas', 'Transitional woodland/shrub']","[2, 11, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170613T101032_58_62'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest']","[5, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171201T112431_88_77'],"['Olive groves', 'Sclerophyllous vegetation']","[16, 17]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170914T093029_72_55'],"['Pastures', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[7, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171107T105229_89_5'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Complex cultivation patterns']","[10, 2, 6]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170808T094029_27_46'],"['Non-irrigated arable land', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Mixed forest', 'Transitional woodland/shrub']","[2, 6, 5, 4, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T112112_65_23'],"['Non-irrigated arable land', 'Transitional woodland/shrub']","[2, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180511T100029_3_68'],"['Coniferous forest', 'Peatbogs']","[1, 12]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171221T112501_80_12'],"['Coniferous forest', 'Moors and heathland', 'Transitional woodland/shrub']","[1, 23, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170818T103021_24_33'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Mixed forest']","[10, 2, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170825T093029_8_0'],"['Non-irrigated arable land', 'Pastures', 'Water bodies']","[2, 7, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170914T093029_17_71'],"['Non-irrigated arable land', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[2, 6, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171219T095409_40_3'],['Non-irrigated arable land'],[2]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180225T114351_1_40'],"['Non-irrigated arable land', 'Pastures', 'Land principally occupied by agriculture, with significant areas of natural vegetation']","[2, 7, 5]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T93014_12_22'],"['Non-irrigated arable land', 'Pastures', 'Complex cultivation patterns', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[2, 7, 6, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180428T095029_3_73'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Pastures', 'Complex cultivation patterns', 'Broad-leaved forest']","[10, 2, 7, 6, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170927T094019_28_30'],"['Non-irrigated arable land', 'Transitional woodland/shrub']","[2, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180510T94033_9_88'],"['Coniferous forest', 'Water bodies']","[1, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170927T094019_57_1'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Pastures', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[10, 2, 7, 6, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170701T093031_29_83'],"['Mixed forest', 'Water bodies']","[0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171208T093351_86_51'],"['Pastures', 'Broad-leaved forest', 'Transitional woodland/shrub']","[7, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T112110_58_85'],"['Agro-forestry areas', 'Broad-leaved forest', 'Transitional woodland/shrub']","[11, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170927T94020_48_38'],"['Discontinuous urban fabric', 'Fruit trees and berry plantations', 'Complex cultivation patterns', 'Mixed forest']","[10, 25, 6, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171112T114339_23_90'],"['Continuous urban fabric', 'Discontinuous urban fabric', 'Industrial or commercial units', 'Pastures', 'Water courses']","[18, 10, 14, 7, 19]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171219T095409_67_53'],"['Non-irrigated arable land', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Mixed forest']","[2, 6, 5, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180502T093039_42_68'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[2, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170825T093029_39_82'],"['Discontinuous urban fabric', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[10, 6, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170914T093029_27_66'],"['Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[6, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171112T114339_44_58'],"['Pastures', 'Coniferous forest', 'Moors and heathland']","[7, 1, 23]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170808T094029_27_25'],"['Non-irrigated arable land', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[2, 6, 5, 4]"
